City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Ulladulla,99,AU,1595628574,100,-35.35,150.47,45.0,2.24
Yulara,0,AU,1595628574,75,-25.24,130.99,41.0,10.29
Hilo,90,US,1595628279,69,19.73,-155.09,82.4,12.75
Diffa,13,NE,1595628574,46,13.32,12.61,87.76,4.63
Santa Cruz de la Sierra,75,BO,1595628465,82,-17.8,-63.17,59.0,4.7
Castro,0,BR,1595628543,75,-24.79,-50.01,59.29,4.36
Vostok,50,RU,1595628574,94,46.49,135.88,61.11,1.52
Gallup,75,US,1595628575,49,35.53,-108.74,73.4,10.29
Puerto Ayora,75,EC,1595628318,65,-0.74,-90.35,77.0,18.34
Bredasdorp,0,ZA,1595628575,87,-34.53,20.04,48.2,3.36
Rikitea,26,PF,1595628575,58,-23.12,-134.97,68.72,13.4
Los Llanos de Aridane,13,ES,1595628518,78,28.66,-17.92,71.6,17.22
Nikolskoye,20,RU,1595628517,81,59.7,30.79,54.0,6.71
Yellowknife,75,CA,1595628518,72,62.46,-114.35,59.0,6.93
Punta Arenas,20,CL,1595628240,74,-53.15,-70.92,37.4,11.41
Yantal',2,RU,1595628576,86,56.85,105.25,50.09,1.7
Carnarvon,0,AU,1595628515,81,-24.87,113.63,51.8,6.93
Oktyabr'skoye,30,RU,1595628576,73,43.06,44.74,69.8,4.47
Vaini,75,TO,1595628576,94,-21.2,-175.2,73.4,9.17
Elizabeth City,1,US,1595628577,66,36.29,-76.25,88.0,6.93
Borgarnes,20,IS,1595628578,61,64.54,-21.92,48.2,23.04
Bambous Virieux,75,MU,1595628498,56,-20.34,57.76,68.0,16.11
Réo,55,BF,1595628578,76,12.32,-2.47,79.48,4.9
Nome,90,US,1595628541,76,64.5,-165.41,57.0,4.7
Jamestown,75,US,1595628308,78,42.1,-79.24,79.0,8.05
Chokurdakh,24,RU,1595628499,53,70.63,147.92,73.15,7.07
Paris,51,FR,1595627753,60,48.85,2.35,72.0,2.24
Yako,100,BF,1595628579,78,12.97,-2.27,75.74,7.07
Tuktoyaktuk,75,CA,1595628520,67,69.45,-133.04,62.6,6.93
